old_env,new_env,old_house,new_house
1.55,0.74,0.4276624097190864,0.5588717118274225
0.74,0.71,0.5588717118274225,0.3887522195082332
0.71,0.57,0.3887522195082332,0.42573205245995605
0.57,0.19,0.42573205245995605,-0.48552245309558656
0.19,-0.17,-0.48552245309558656,0.561713853394757
-0.17,-0.43,0.561713853394757,-0.9958483084259153
-0.43,-0.57,-0.9958483084259153,0.6525705390422674
-0.57,0.09,0.6525705390422674,-0.7500470245539724
0.09,0.36,-0.7500470245539724,1.053587691914618
0.36,0.67,1.053587691914618,-0.6193445663882247
0.67,0.85,-0.6193445663882247,1.2121652388961766
0.85,1.58,1.2121652388961766,0.6064938261052816
1.58,3.03,0.6064938261052816,1.5567614376951655
3.03,4.42,1.5567614376951655,1.6921106826401264
4.42,4.94,1.6921106826401264,1.8021901446184512
4.94,5.14,1.8021901446184512,1.8269673930810995
5.14,5.05,1.8269673930810995,1.7952806485112294
5.05,5.06,1.7952806485112294,1.8068534394047486
5.06,4.84,1.8068534394047486,1.7415931099413695
4.84,4.6,1.7415931099413695,1.6906823740900092
4.6,4.01,1.6906823740900092,1.5229306044301527
4.01,3.55,1.5229306044301527,1.4237518728942369
3.55,3.11,1.4237518728942369,1.2985561701773871
3.11,2.4,1.2985561701773871,1.0494969413116995
2.4,0.84,1.0494969413116995,-0.4577083583590095
0.84,0,-0.4577083583590095,0.6765414683217944
0,-0.29,0.6765414683217944,-0.9831284088672213
-0.29,-0.51,-0.9831284088672213,0.6878433025531479
-0.51,-1.12,0.6878433025531479,-1.3445606355063158
-1.12,-1.65,-1.3445606355063158,-0.5526656896295301
-1.65,-1.86,-0.5526656896295301,-1.1433872092910913
-1.86,-1.94,-1.1433872092910913,-0.8925316749051031
-1.94,-2.04,-0.8925316749051031,-1.0711994795998068
-2.04,-2.05,-1.0711994795998068,-0.9893434794853571
-2.05,-2.01,-0.9893434794853571,-1.0102754676397139
-2.01,-0.39,-1.0102754676397139,0.7875756901020459
-0.39,1.86,0.7875756901020459,1.0355792146899987
1.86,3.03,1.0355792146899987,1.4122396345202897
3.03,3.9,1.4122396345202897,1.5772635688050713
3.9,4.18,1.5772635688050713,1.6132998578054014
4.18,4.38,1.6132998578054014,1.6633400560903349
4.38,4.4,1.6633400560903349,1.6542853272364069
4.4,4.28,1.6542853272364069,1.6204057123953846
4.28,3.87,1.6204057123953846,1.4998647564379315
3.87,3.1,1.4998647564379315,1.2649645226495756
3.1,2.4,1.2649645226495756,1.0653804378485763
2.4,1.83,1.0653804378485763,0.8744252753388501
1.83,0.88,0.8744252753388501,0.07466407878725849
0.88,-0.23,0.07466407878725849,-0.5519638382967298
-0.23,-0.98,-0.5519638382967298,-0.6542447261562527
-0.98,-1.84,-0.6542447261562527,-1.0889239063606544
-1.84,-2.26,-1.0889239063606544,-1.0821626927774517
-2.26,-2.6,-1.0821626927774517,-1.2320054006466645
-2.6,-2.79,-1.2320054006466645,-1.2481965387523455
-2.79,-2.97,-1.2481965387523455,-1.3121750878780067
-2.97,-3.14,-1.3121750878780067,-1.3519707512080257
-3.14,-3.29,-1.3519707512080257,-1.392131189504773
-3.29,-3.37,-1.392131189504773,-1.406367238844544
-3.37,-3.44,-1.406367238844544,-1.4260549642827431
-3.44,-2.35,-1.4260549642827431,-0.9612205968024494
-2.35,-1.08,-0.9612205968024494,-0.34464387880470276
-1.08,0.23,-0.34464387880470276,0.7580526886732233
0.23,1.4,0.7580526886732233,0.8012161451985205
1.4,2.45,0.8012161451985205,1.284049786730047
2.45,3.21,1.284049786730047,1.3877860833968443
3.21,3.64,1.3877860833968443,1.5007377907559853
3.64,3.62,1.5007377907559853,1.4557685974233732
3.62,2.88,1.4557685974233732,1.1934116651753606
2.88,1.18,1.1934116651753606,-0.11580874395036254
1.18,-0.27,-0.11580874395036254,-0.3926719445665013
-0.27,-1.03,-0.3926719445665013,-0.7983282880078213
-1.03,-1.83,-0.7983282880078213,-1.0157124159879993
-1.83,-2.7,-1.0157124159879993,-1.2978010571778715
-2.7,-3.68,-1.2978010571778715,-1.543437378976591
-3.68,-4.5,-1.543437378976591,-1.7194657952467123
-4.5,-4.62,-1.7194657952467123,-1.7030954772863698
-4.62,-4.7,-1.7030954772863698,-1.7311569896209964
-4.7,-4.72,-1.7311569896209964,-1.7288270620218216
-4.72,-4.74,-1.7288270620218216,-1.7352731594703408
-4.74,-4.67,-1.7352731594703408,-1.7131044453067241
-4.67,-4.67,-1.7131044453067241,-1.7195626056335593
-4.67,-4.71,-1.7195626056335593,-1.7292881178006285
-4.71,-4.63,-1.7292881178006285,-1.7031476395777823
-4.63,-4.04,-1.7031476395777823,-1.528676669679438
-4.04,-2.89,-1.528676669679438,-1.1667576142115217
-2.89,-1.52,-1.1667576142115217,-0.5943419771381442
-1.52,-0.3,-0.5943419771381442,0.5425329272386554
-0.3,0.84,0.5425329272386554,0.5454054205463533
0.84,1.72,0.5454054205463533,1.0837871467468354
1.72,2.25,1.0837871467468354,1.0799133545119093
2.25,2.32,1.0799133545119093,1.1135917768590475
2.32,1.96,1.1135917768590475,0.920004469087489
1.96,1.03,0.920004469087489,0.3316557415642175
1.03,0.18,0.3316557415642175,-0.3894300213956514
0.18,-0.16,-0.3894300213956514,0.47898853994187734
-0.16,-0.3,0.47898853994187734,-0.8826032743774959
-0.3,-0.27,-0.8826032743774959,0.7826897689234834
-0.27,-0.22,0.7826897689234834,-1.001343981318849
-0.22,-0.18,-1.001343981318849,0.9062802995314689
